id;tog;tid;BTR;km;spor;watt [kW]
54;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:24;82;36;sydgaaende;90
55;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:25;82;36;sydgaaende;56
56;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:26;82;36;sydgaaende;56
57;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:27;82;36;sydgaaende;56
58;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:28;82;36;sydgaaende;58
59;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:29;82;36;sydgaaende;56
60;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:30;82;36;sydgaaende;56
61;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:31;82;36;sydgaaende;56
62;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:32;82;36;sydgaaende;56
63;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:33;82;36;sydgaaende;56
64;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:34;82;36;sydgaaende;56
65;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:35;82;36;sydgaaende;56
66;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:36;82;36;sydgaaende;56
67;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:37;82;36;sydgaaende;56
68;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:38;82;36;sydgaaende;56
69;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:39;82;36;sydgaaende;96
70;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:40;82;36;sydgaaende;97
71;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:41;82;36;sydgaaende;120
72;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:42;82;35,999;sydgaaende;172
73;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:43;82;35,998;sydgaaende;255
74;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:44;82;35,996;sydgaaende;453
75;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:45;82;35,993;sydgaaende;743
76;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:46;82;35,988;sydgaaende;1125
77;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:47;82;35,982;sydgaaende;1414
78;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:48;82;35,974;sydgaaende;1699
79;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:49;82;35,965;sydgaaende;1966
80;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:50;82;35,955;sydgaaende;1477
81;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:51;82;35,944;sydgaaende;554
82;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:52;82;35,933;sydgaaende;161
83;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:53;82;35,922;sydgaaende;113
84;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:54;82;35,911;sydgaaende;103
85;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:55;82;35,9;sydgaaende;86
86;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:56;82;35,889;sydgaaende;76
87;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:57;82;35,878;sydgaaende;81
88;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:58;82;35,867;sydgaaende;55
89;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:59;82;35,856;sydgaaende;45
90;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:00;82;35,845;sydgaaende;45
91;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:01;82;35,834;sydgaaende;45
92;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:02;82;35,823;sydgaaende;45
93;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:03;82;35,812;sydgaaende;45
94;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:04;82;35,801;sydgaaende;45
95;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:05;82;35,79;sydgaaende;31
96;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:06;82;35,779;sydgaaende;-232
97;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:07;82;35,768;sydgaaende;0
98;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:08;82;35,757;sydgaaende;79
99;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:09;82;35,746;sydgaaende;82
100;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:10;82;35,735;sydgaaende;82
101;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:11;82;35,725;sydgaaende;127
102;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:12;82;35,714;sydgaaende;112
103;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:13;82;35,703;sydgaaende;82
104;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:14;82;35,693;sydgaaende;89
105;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:15;82;35,682;sydgaaende;77
106;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:16;82;35,671;sydgaaende;86
107;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:17;82;35,66;sydgaaende;141
108;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:18;82;35,649;sydgaaende;171
109;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:19;82;35,639;sydgaaende;190
110;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:20;82;35,629;sydgaaende;168
111;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:21;82;35,618;sydgaaende;188
112;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:22;82;35,607;sydgaaende;170
113;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:23;82;35,596;sydgaaende;166
114;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:24;82;35,585;sydgaaende;169
115;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:25;82;35,574;sydgaaende;169
116;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:26;82;35,563;sydgaaende;144
117;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:27;82;35,552;sydgaaende;144
118;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:28;82;35,541;sydgaaende;137
119;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:29;82;35,53;sydgaaende;839
120;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:30;82;35,518;sydgaaende;1617
121;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:31;82;35,505;sydgaaende;1904
122;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:32;82;35,491;sydgaaende;1850
123;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:33;82;35,476;sydgaaende;1785
124;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:34;82;35,461;sydgaaende;1714
125;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:35;82;35,445;sydgaaende;1680
126;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:36;82;35,428;sydgaaende;1635
127;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:37;82;35,411;sydgaaende;1629
128;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:38;82;35,393;sydgaaende;1606
129;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:39;82;35,374;sydgaaende;1616
130;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:40;82;35,355;sydgaaende;1622
131;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:41;82;35,335;sydgaaende;1534
132;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:42;82;35,315;sydgaaende;1161
133;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:43;82;35,294;sydgaaende;676
134;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:44;82;35,273;sydgaaende;525
135;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:45;82;35,252;sydgaaende;436
136;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:46;82;35,231;sydgaaende;358
137;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:47;82;35,21;sydgaaende;261
138;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:48;82;35,189;sydgaaende;268
139;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:49;82;35,168;sydgaaende;89
140;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:50;82;35,147;sydgaaende;315
141;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:51;82;35,125;sydgaaende;1017
142;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:52;82;35,103;sydgaaende;1425
143;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:53;82;35,08;sydgaaende;1528
144;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:54;82;35,057;sydgaaende;1533
145;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:55;82;35,033;sydgaaende;1518
146;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:56;82;35,009;sydgaaende;1554
147;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:57;82;34,985;sydgaaende;1578
148;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:58;82;34,96;sydgaaende;1601
149;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:22:59;82;34,935;sydgaaende;1636
150;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:00;82;34,909;sydgaaende;1671
151;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:01;82;34,883;sydgaaende;1466
152;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:02;82;34,856;sydgaaende;950
153;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:03;82;34,829;sydgaaende;855
154;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:04;82;34,802;sydgaaende;927
155;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:05;82;34,775;sydgaaende;1011
156;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:06;82;34,747;sydgaaende;1070
157;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:07;82;34,719;sydgaaende;1141
158;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:08;82;34,691;sydgaaende;1195
159;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:09;82;34,663;sydgaaende;1231
160;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:10;82;34,635;sydgaaende;1275
161;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:11;82;34,606;sydgaaende;1317
162;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:12;82;34,577;sydgaaende;1367
163;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:13;82;34,548;sydgaaende;1400
164;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:14;82;34,519;sydgaaende;1423
165;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:15;82;34,489;sydgaaende;1442
166;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:16;82;34,459;sydgaaende;1457
167;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:17;82;34,429;sydgaaende;1489
168;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:18;82;34,399;sydgaaende;1385
169;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:19;82;34,369;sydgaaende;1230
170;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:20;82;34,338;sydgaaende;1115
171;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:21;82;34,307;sydgaaende;1091
172;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:22;82;34,276;sydgaaende;1129
173;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:23;82;34,245;sydgaaende;1096
174;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:24;82;34,214;sydgaaende;1070
175;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:25;82;34,183;sydgaaende;1047
176;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:26;82;34,152;sydgaaende;1029
177;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:27;82;34,121;sydgaaende;1017
178;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:28;82;34,09;sydgaaende;1003
179;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:29;82;34,059;sydgaaende;1000
180;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:30;82;34,028;sydgaaende;885
181;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:31;82;33,997;sydgaaende;744
182;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:32;82;33,966;sydgaaende;790
183;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:33;82;33,935;sydgaaende;878
184;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:34;82;33,904;sydgaaende;955
185;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:35;82;33,873;sydgaaende;959
186;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:36;82;33,842;sydgaaende;899
187;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:37;82;33,811;sydgaaende;864
188;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:38;82;33,78;sydgaaende;879
189;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:39;82;33,749;sydgaaende;901
190;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:40;82;33,718;sydgaaende;911
191;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:41;82;33,687;sydgaaende;911
192;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:42;82;33,656;sydgaaende;927
193;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:43;82;33,625;sydgaaende;924
194;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:44;82;33,594;sydgaaende;935
195;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:45;82;33,563;sydgaaende;933
196;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:46;82;33,532;sydgaaende;934
197;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:47;82;33,501;sydgaaende;926
198;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:48;82;33,47;sydgaaende;912
199;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:49;82;33,439;sydgaaende;897
200;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:50;82;33,408;sydgaaende;891
201;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:51;82;33,377;sydgaaende;883
202;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:52;82;33,346;sydgaaende;881
203;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:53;82;33,315;sydgaaende;883
204;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:54;82;33,284;sydgaaende;876
205;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:55;82;33,253;sydgaaende;875
206;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:56;82;33,222;sydgaaende;877
207;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:57;82;33,191;sydgaaende;877
208;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:58;82;33,16;sydgaaende;882
209;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:23:59;82;33,129;sydgaaende;885
210;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:00;82;33,098;sydgaaende;858
211;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:01;82;33,067;sydgaaende;858
212;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:02;82;33,036;sydgaaende;859
213;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:03;82;33,005;sydgaaende;854
214;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:04;82;32,974;sydgaaende;849
215;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:05;82;32,943;sydgaaende;737
216;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:06;82;32,912;sydgaaende;665
217;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:07;82;32,881;sydgaaende;746
218;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:08;82;32,85;sydgaaende;826
219;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:09;82;32,819;sydgaaende;805
220;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:10;82;32,788;sydgaaende;745
221;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:11;82;32,757;sydgaaende;740
222;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:12;82;32,726;sydgaaende;762
223;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:13;82;32,695;sydgaaende;787
224;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:14;82;32,664;sydgaaende;816
225;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:15;82;32,633;sydgaaende;792
226;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:16;82;32,602;sydgaaende;737
227;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:17;82;32,571;sydgaaende;709
228;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:18;82;32,54;sydgaaende;699
229;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:19;82;32,509;sydgaaende;685
230;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:20;82;32,478;sydgaaende;664
231;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:21;82;32,447;sydgaaende;648
232;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:22;82;32,416;sydgaaende;639
233;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:23;82;32,385;sydgaaende;628
234;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:24;82;32,354;sydgaaende;630
235;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:25;82;32,323;sydgaaende;635
236;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:26;82;32,292;sydgaaende;682
237;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:27;82;32,261;sydgaaende;672
238;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:28;82;32,23;sydgaaende;654
239;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:29;82;32,199;sydgaaende;662
240;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:30;82;32,168;sydgaaende;627
241;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:31;82;32,137;sydgaaende;622
242;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:32;82;32,106;sydgaaende;612
243;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:33;82;32,075;sydgaaende;599
244;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:34;82;32,044;sydgaaende;590
245;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:35;82;32,013;sydgaaende;595
246;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:36;82;31,982;sydgaaende;603
247;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:37;82;31,951;sydgaaende;602
248;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:38;82;31,92;sydgaaende;596
249;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:39;82;31,889;sydgaaende;590
250;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:40;82;31,858;sydgaaende;572
251;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:41;82;31,827;sydgaaende;571
252;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:42;82;31,796;sydgaaende;561
253;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:43;82;31,765;sydgaaende;555
254;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:44;82;31,734;sydgaaende;549
255;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:45;82;31,703;sydgaaende;541
256;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:46;82;31,672;sydgaaende;533
257;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:47;82;31,641;sydgaaende;529
258;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:48;82;31,61;sydgaaende;521
259;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:49;82;31,579;sydgaaende;517
260;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:50;82;31,548;sydgaaende;513
261;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:51;82;31,517;sydgaaende;527
262;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:52;82;31,486;sydgaaende;508
263;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:53;82;31,455;sydgaaende;504
264;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:54;82;31,424;sydgaaende;486
265;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:55;82;31,393;sydgaaende;468
266;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:56;82;31,362;sydgaaende;464
267;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:57;82;31,331;sydgaaende;460
268;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:58;82;31,3;sydgaaende;455
269;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:24:59;82;31,269;sydgaaende;449
270;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:25:00;82;31,238;sydgaaende;426
271;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:25:01;82;31,207;sydgaaende;424
272;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:25:02;82;31,176;sydgaaende;416
273;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:25:03;82;31,145;sydgaaende;417
274;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:25:04;82;31,114;sydgaaende;414
275;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:25:05;82;31,083;sydgaaende;417
